A00	Vəba
C85	Qeyri-Hockin limfomanın digər və dəqiqləşdirilməmiş formaları
C85.1	Dəqiqləşdirilməmiş B-hüceyrəli limfoma
C85.2	Mediastinal (çəngələbənzər vəzi) iri B-hüceyrəli limfoma C85.7
C85.7	Qeyri-Hockin limfomasının dəqiqləşdirilməmiş formaları
C85.9	Dəqiqləşdirilməmiş qeyri-Hockin limfoması
C86	T/NK-hüceyrəli limfomanın digər dəqiqləşdirilmiş formaları
C86.0	Ekstranodal T/NK-hüceyrəli limfoma, nazal forma
C86.1	Qaraciyər-dalaq T-hüceyrəli limfoması
C86.2	Enteropatik (bağırsaq) tipli T-hüceyrəli limfoma
C86.3	Dərialtı piy toxumasına bənzər T-hüceyrəli limfoma
C86.4	Blastik NK-hüceyrəli limfoma
C86.5	Angioimmunoblastik T-hüceyrəli limfoma
C86.6	Birincili CD30-müsbət T-hüceyrəli dəri bitişməsi
C88	Bədxassəli immunoproliferativ xəstəliklər
C88.0	Valdenstrem makroqlobulinemiyası
C88.2	Digər ağır zəncirlər xəstəliyi
C88.3	Nazik bağırsağın immunoproliferativ xəstəliyi
C88.4	Selikli qişa limfoid toxuması ilə məhdudlaşan
C88.7	Digər bədxassəli immunoproliferativ xəstəliklər
C88.9	Dəqiqləşdirilməmiş bədxassəli immunoproliferativ xəstəliklər
C90	Çoxsaylı mieloma və bədxassəli plazmatik hüceyrəli yenitörəmə
C90.0	Çoxsaylı mieloma
C90.1	Plazmohüceyrəli leykemiya
C90.2	Ekstramedulyar plazmositoma
C90.3	Solitar plazmositoma
C91	Limfoid leykoz [limfoleykoz]
C91.0	Kəskin limfoblast leykemiya [ALL]
C91.1	B-hüceyrə tipli xroniki limfositar leykemiya
C91.3	B-hüceyrəli prolimfositar leykemiya
C91.4	Tükhüceyrəli leykoz
C91.5	Böyüklərin T-hüceyrəli limfoması/leykemiyası [HTLV-1-birgə]
C91.6	T-hüceyrəli prolimfatik leykemiya
C91.7	Digər limfatik leykemiya
C91.8	Berkitt tipli yetişmiş B-hüceyrəli leykemiya
C91.9	Dəqiqləşdirilməmiş limfoid leykemiyası
C92	Mieloid leykoz [mieloleykoz]
C92.0	Kəskin mieloblast leykemiya [KML]
C92.1	Xroniki mieloid leykemiya [CML], BCR/ABL-müsbət
C92.2	Atipik xroniki mieloid leykemiya, BCR/ABL-mənfi
C92.3	Mieloid sarkoma
C92.4	Kəskin promielositar leykemiya [PML]
C92.5	Kəskin mielomonositar leykemiya
C92.6	Kəskin mieloid leykemiya 11q23 anomaliyası ilə
C92.7	Digər mieloid leykemiya
C92.8	Kəskin mieloid leykemiya, müxtəlif displaziyalar ilə
C92.9	Dəqiqləşdirilməmiş mieloid leykemiya
C93	Monositar leykoz
C93.0	Kəskin monoblast / monositoid leykemiya
C93.1	Xroniki mielomonositar leykemiya
C93.3	Yuvenil mielomonositar leykemiya
C93.7	Digər monositar leykemiya
C93.9	Dəqiqləşdirilməmiş monositar leykemiya
C94	Dəqiqləşdirilmiş hüceyrə tipli digər leykoz
C94.0	Kəskin eritroleykoz Kəskin mieloid leykemiya, M6 (a)(b)
C94.2	Kəskin meqakarioblast leykemiya
C94.3	Tosqunhüceyrəli leykemiya
C94.4	Kəskin mielofibrozlu panmieloz
C94.6	Başqa rubrikalarda təsnif olunmayan mielodisplastik və mieloproliferativ xəstəlik
C94.7	Digər dəqiqləşdirilmiş leykemiya
C95	Dəqiqləşdirilməmiş hüceyrə tipli leykoz
C95.0	Dəqiqləşdirilməmiş hüceyrə tipli kəskin leykoz
C95.7	Dəqiqləşdirilməmiş hüceyrə tipli digər leykemiya C95.9
C96	Limfoid, qanyaradıcı və onlara oxşar toxumaların digər və dəqiqləşdirilməmiş bədxassəli yenitörəmələri
C96.0	Langerhans-hüceyrələrinin çoxocaqlı və çoxsistemli (səpələnmiş)
C96.2	Tosqun hüceyrələrin bədxassəli şişi
C96.4	Dendrit (şaxə) hüceyrəli (A hüceyrəli) sarkoma
C96.5	Langerhans hüceyrələrinin çoxocaqlı və birsistemli histiositozu
C96.6	Langerhans hüceyrələrinin birocaqlı histiositozu
C96.7	Limfoid, qanyaradıcı və onlara mənşəcə, quruluşca yaxın toxumaların digər dəqiqləşdirilmiş bədxassəli yenitörəmələri
C96.8	Retikulhüceyrəli sarkoma
C96.9	Limfoid, qanyaradıcı və onlara mənşə və quruluşca yaxın toxumaların dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C97	Müstəqil (birincili) çox lokalizasiyalı bədxassəli yenitörəmə
D00	Ağız boşluğu, qida borusu və mədənin in situ karsinoması
D00.0	Dodaqlar, ağız boşluğu və udlağın in situ karsinoması
D00.1	Qida borusunun in situ karsinoması
D00.2	Mədənin in situ karsinoması
D01	Digər və dəqiqləşdirilməmiş həzm orqanlarının in situ karsinoması
D01.0	Çənbər bağırsağın in situ karsinoması
D01.1	Düz bağırsaqla siqmavarı bağırsaq birləşməsinin in situ
D01.2	Düz bağırsağın in situ karsinoması
D01.3	Anus və anal kanalın in situ karsinoması
D01.4	Bağırsağın digər və dəqiqləşdirilməmiş hissələrinin in situ
D01.5	Qaraciyər, öd kisəsi və öd axacaqlarının in situ karsinoması
D01.7	Digər dəqiqləşdirilmiş həzm orqanlarının in situ karsinoması
D01.9	Həzm orqanlarının dəqiqləşdirilməmiş in situ karsinoması
D02	Orta qulaq və tənəffüs orqanlarının in situ karsinoması
D02.0	Qırtlağın in situ karsinoması
D02.1	Nəfəs borusunun (traxeyanın ) in situ karsinomasi
D02.2	Bronx və ağciyərin in situ karsinomasi
D02.3	Tənəffüs orqanlarının digər hissələrinin in situ karsinomasi
D02.4	Tənəffüs orqanlarının dəqiqləşdirilməmiş in situ karsinoması
D03	In situ melanoma
D03.0	Dodağın in situ melanoması
D03.1	Göz qapaqları bitişməsi də daxil olmaqla göz qapaqlarının in situ melanoması
D03.2	Qulaq və xarici qulaq keçəcəyinin in situ melanoması
D03.3	Üzün digər və dəqiqləşdirilməmiş hissələrinin in situ melanoması
D03.4	Başın tüklü hissəsinin və boynun in situ melanoması
D03.5	Gövdənin in situ melanoması
D03.6	Yuxarı ətrafın, çiyin qurşağı nahiyəsi də daxil olmaqla in situ melanoması
D03.7	Aşağı ətrafın, bud-çanaq nahiyəsi də daxil olmaqla in situ
D03.8	Digər lokalizasiyalı in situ melanoması
D03.9	Dəqiqləşdirilməmiş lokalizasiyalı in situ melanoma
D04	Dərinin in situ karsinoması
D04.0	Dodaq dərisinin in situ karsinoması
D04.1	Göz qapağı dərisinin, göz qapaqları bitişməsi də daxil olmaqla in
D04.2	Qulaq dərisi və xarici qulaq keçəcəyinin in situ karsinoması
D04.3	Üzün digər və dəqiqləşdirilməmiş hissələrinin
D04.4	Başın tüklü hissəsinin və boyun dərisinin in situ
D04.5	Gövdə dərisinin in situ karsinoması
D04.6	Yuxarı ətraf dərisinin, çiyin qurşağı nahiyəsi də daxil olmaqla in
D04.7	Aşağı ətraf dərisinin , bud-çanaq nahiyəsi də daxil olmaqla in
D04.8	Dərinin digər lokalizasiyalı in situ karsinoması
D04.9	Dərinin dəqiqləşdirilməmiş lokalizasiyalı in situ karsinoması
D05	Süd vəzisinin in situ karsinoması
D05.0	Paycıqlı (lobulyar) in situ karsinoma
D05.1	Axacaqdaxili in situ karsinoma
D05.7	Süd vəzisinin digər in situ karsinoması
D05.9	Süd vəzisinin dəqiqləşdirilməmiş in situ karsinoması
D06	Uşaqlıq boynunun in situ karsinoması
D06.0	Daxili hissəsinin in situ karsinoması
D06.1	Xarici hissəsinin in situ karsinoması
D06.7	Uşaqlıq boynunun digər hissələrinin in situ karsinoması
D06.9	Uşaqlıq boynunun dəqiqləşdirilməmiş hissəsinin in situ
D07	Digər və dəqiqləşdirilməmiş cinsiyyət orqanlarının in situ karsinoması
D07.0	Endometrin in situ karsinoması
D07.1	Vulvanın (xarici qadın cinsiyyət orqanlarının) in situ
D07.2	Uşaqlıq yolunun in situ karsinoması
D07.3	Digər və dəqiqləşdirilməmiş qadın cinsiyyət orqanlarının in situ
D07.4	[Kişi] cinsiyyət üzvünün in situ karsinoması
D07.5	Prostat vəzinin in situ karsinoması
D07.6	Digər və dəqiqləşdirilməmiş kişi cinsiyyət orqanlarının in situ
D09	Digər və dəqiqləşdirilməmiş lokalizasiyalı in situ karsinoma
D09.0	Sidik kisəsinin in situ karsinoması
D09.1	Digər və dəqiqləşdirilməmiş sidik orqanlarının in situ
D09.2	Gözün in situ karsinoması
D09.3	Qalxanabənzər və digər endokrin vəzilərin in situ
D09.7	Digər dəqiqləşdirilmiş lokalizasiyalı in situ karsinoma
D09.9	Dəqiqləşdirilməmiş lokalizasiyalı in situ karsinoma
D10	Ağzın və udlağın xoşxassəli yenitörəmələri
D10.0	Dodağın xoşxassəli yenitörəməsi
D10.1	Dilin xoşxassəli yenitörəməsi
D10.2	Ağız boşluğu dibinin xoşxassəli yenitörəməsi
D10.3	Ağızın digər və dəqiqləşdirilməmiş hissələrinin xoşxassəli
D10.4	Badamcığın xoşxassəli yenitörəməsi
D10.5	Burun-udlağın digər hissələrinin xoşxassəli yenitörəməsi
D10.6	Burun-udlağın xoşxassəli yenitörəməsi
D10.7	Qırtlaq və udlağın xoşxassəli yenitörəməsi
D10.9	Udlağın dəqiqləşdirilməmiş lokalizasiyalı xoşxassəli yenitörəməsi
D11	Böyük ağız suyu vəzilərinin xoşxassəli yenitörəmələri
D11.0	Qulaqyanı ağız suyu vəzisinin xoşxassəli yenitörəməsi
D11.7	Digər böyük ağız suyu vəzilərinin xoşxassəli yenitörəməsi
D11.9	Böyük ağız suyu vəzisinin dəqiqləşdirilməmiş xoşxassəli
D12	Köndələn çənbər bağırsağın, duz bağırsağın, anusun və anal kanalın xoşxassəli yenitörəmələri
D12.0	Kor bağırsağın xoşxassəli yenitörəməsi
D12.1	Soxulcanabənzər çıxıntının (appendiksin) xoşxassəli yenitörəməsi
D12.2	Qalxan çənbərbağırsağın xoşxassəli yenitörəməsi
D12.3	Köndələn çənbər bağırsağın xoşxasslı yenitörəmə
D12.4	Enən çənbər bağırsağın xoşxassəli yenitörəməsi
D12.5	Siqmavarı bağırsağın xoşxassəli yenitörəməsi
D12.6	Çənbər bağırsağın dəqiqləşdirilməmiş hissəsinin xoşxassəli
D12.7	Düz bağırsaqla siqmavarı bağırsaq birləşməsinin xoşxassəli
D12.8	Düz bağırsağın xoşxassəli yenitörəməsi
D12.9	Anus və anal kanalın xoşxassəli yenitörəməsi
D13	Digər və qeyri-düzgün müəyyənləşdirilmiş həzm orqanların xoşxassəli yenitörəmələri
D13.0	Qida borusunun xoşxassəli yenitörəməsi
D13.1	Mədənin xoşxassəli yenitörəməsi
D13.2	Onikibarmaq bağırsağın xoşxassəli yenitörəməsi
D13.3	Nazik bağırsağın digər və dəqiqləşdirilməmiş şöbələrinin
D13.4	Qaraciyərin xoşxassəli yenitörəməsi
D13.5	Qaraciyər xarici öd axacaqlarının xoşxassəli yenitörəməsi
D13.6	Mədəaltı vəzinin xoşxassəli yenitörəməsi
D13.7	Mədəaltı vəzinin adacıq hüceyrələrinin xoşxassəli yenitörəməsi
D13.9	Həzm sistemi hüdudunda lokalizasiyası dəqiq
D14	Orta qulağın və tənəffüs orqanlarının xoşxassəli yenitörəmələri
D14.0	Orta qulaq, burun boşluğu və əlavə ciblərin xoşxassəli
D14.1	Qırtlağın xoşxassəli
D14.2	Nəfəs borusunun (traxeyanın ) xoşxassəli yeni töreməsi
D14.3	Bronx və ağciyərin xoşxassəli yeni töreməsi
D14.4	Tənəffüs sisteminin dəqiqləşdirilməmiş lokalizasiyalı
D15	Döş qəfəsinin digər və dəqiqləşdirilməmiş orqanlarının xoşxassəli yenitörəmələri
D15.0	Çəngələbənzər (timus) vəzinin xoşxassəli yenitörəməsi
D15.1	Ürəyin xoşxassəli yenitörəməsi
D15.2	Divararalığının xoşxassəli yenitörəməsi
D15.7	Döş qəfəsinin digər və dəqiqləşdirilmiş orqanlarının
D15.9	Döş qəfəsinin dəqiqləşdirilməmiş orqanlarının xoşxassəli
D16	Sümüklərin və sümük qığırdaqlarının xoşxassəli yenitörəmələri
D16.0	Kürək və yuxarı ətrafın uzun sümüklərinin xoşxassəli
D16.1	Yuxarı ətrafın qısa sümüklərinin xoşxassəli yenitörəməsi
D16.2	Aşağı ətrafın uzun sümüklərinin
D16.3	Aşağı ətrafın qısa sümüklərinin
D16.4	Kəllə və üz sümüklərinin xoşxassəli yenitörəməsi
D16.5	Alt çənənin sümük hissəsinin
D16.6	Onurğa sütununun xoşxassəli yenitörəməsi
D16.7	Qabırğalar döş və körpücük sümüklərinin xoşxassəli yenitörəməsi
D16.8	Çanaq sümükləri oma və büzdümün xoşxassəli yenitörəməsi
D16.9	Dəqiqləçdirilməmiş sümüklərin və oynaq, qığırdaqlarının xoşxassəli yenitörəmələri
D17	Piy toxumasının xoşxassəli yenitörəmələri
D17.0	Baş, üz, boynun dəri və dərialtı piy toxumasının xoşxassəli yenitörəməsi
D17.1	Gövdənin dəri və dərialtı piy toxumasının xoşxassəli
D17.2	Ətrafların dəri və dərialtı piy toxumasının xoşxassəli yenitörəməsi
D17.3	Digər və dəqiqləşdirilməmiş lokalizasiyalı dəri və dərialtı piy toxumasının xoşxassəli yenitörəməsi
D17.4	Döş qəfəsi orqanlarının piy toxumasının xoşxassəli
D17.5	Qarın boşluğu orqanların piy toxumasının xoşxassəli
D17.6	Toxum ciyəsinin piy toxumasının xoşxassəli yenitörəməsi
D17.7	Piy toxumasının digər lokalizasiyalı xoşxassəli yenitörəməsi
D17.9	Piy toxumasının dəqiqləşdirilməmiş lokalizasiyalı xoşxassəli yenitörəməsi
D18	İstənilən lokalizasiyalı hemangioma və limfangioma
D18.0	İstənilən lokalizasiyalı hemangioma
D18.1	İstənilən lokalizasiyalı limfangioma
D19	Mezotelial toxumanın xoşxassəli yenitörəmələri
D19.0	Plevranın mezotel toxumasının xoşxassəli yenitörəməsi
D19.1	Peritonun mezotel toxumasının xoşxassəli yenitörəməsi
D19.7	Digər lokalizasiyalı mezotel toxumanın xoşxassəli
D19.9	Dəqiqləşdirilməmiş lokalizasiyalı mezotel toxumanın
D20	Peritonarxası yumşaq toxumaların və peritonun xoşxassəli yenitörəmələri
D20.0	Peritonarxası sahənin xoşxassəli yenitörəməsi
D20.1	Peritonun xoşxassəli
D21	Birləşdici toxumanın və digər yumşaq toxumaların xoşxassəli yenitörəmələri
D21.0	Baş, üz və boynun birləşdirici və digər yumşaq toxumalarının
D21.1	Yuxarı ətrafın, çiyin qurşağı nahiyəsi də daxil olmaqla birləşdirici və digər yumşaq toxumalarının xoşxassəli yenitörəməsi
D21.2	Aşağı ətrafın, bud-çanaq nahiyəsi də daxil olmaqla birləşdirici
D21.3	Döş qəfəsinin birləşdirici və digər yumşaq toxumalarının
D21.4	Qarnın birləşdirici və digər yumşaq toxumalarının xoşxassəli
D21.5	Çanağın birləşdirici və digər yumşaq toxumalarının xoşxassəli
D21.6	Gövdənin dəqiqləşdirilməmiş hissəsinin birləşdirici və digər yumşaq toxumalarının xoşxassəli yenitörəməsi
D21.9	Birləşdirici və digər yumşaq toxumaların dəqiqləşdirilməmiş
D22	Melonasitar nevus
D22.0	Dodağın melanomayabənzər nevusu
D22.1	Göz qapağının, göz qapaqları bitişməsi də daxil olmaqla
D22.2	Qulaq və xarici qulaq keçəcəyinin melanomayabənzər nevusu
D22.3	Üzün digər və dəqiqləşdirilməmiş hissələrinin melanomayabənzər nevusu
D22.4	Başın tüklü hissəsinin və boynun melanomayabənzər nevusu
D22.5	Gövdənin melanomayabənzər nevusu
D22.6	Yuxarı ətrafın, çiyin qurşağı nahiyəsi də daxil olmaqla melanomayabənzər nevusu
D22.7	Aşağı ətrafın, bud-çanaq nahiyəsi də daxil olmaqla melanomayabənzər nevusu
D22.9	Dəqiqləşdirilməmiş melanomayabənzər nevus
D23	Dərinin digər xoşxassəli yenitörəmələri
D23.0	Dodaq dərisinin xoşxassəli yenitörəməsi
D23.1	Göz qapağı dərisinin, göz qapaqları bitişməsi də daxil olmaqla
D23.2	Qulaq dərisi və xarici qulaq keçəcəyinin xoşxassəli
D23.3	Üzün digər və dəqiqləşdirilməmiş hissələrinin dərisinin
D23.4	Başın tüklü hissəsinin və boyun dərisinin xoşxassəli
D23.5	Gövdə dərisinin xoşxassəli yenitörəməsi
D23.6	Yuxarı ətraf dərisinin , bazu oynağı nahiyəsi də daxil olmaqla
D23.7	Aşağı ətraf dərisinin, bud-çanaq oynağı nahiyəsi də daxil olmaqla xoşxassəli yenitörəməsi
D23.9	Dərinin dəqiqləşdirilməmiş lokalizasiyalı xoşxassəli
D24	Süd vəzisinin xoşxassəli yenitörəməsi
D25	Uşaqlığın leyomioması
D25.0	Uşaqlığın selikaltı leyomioması
D25.1	Uşaqlığın divardaxili (intramural) leyomioması
D25.2	Uşaqlığın serozaltı leyomioması
D25.9	Uşaqlığın dəqiqləşdirilməmiş leyomioması
D26	Uşaqlığın digər xoşxassəli yenitörəmələri
D26.0	Uşaqlıq boynunun xoşxassəli yenitörəməsi
D26.7	Uşaqlığın digər hissələrinin xoşxassəli yenitörəməsi
D26.9	Uşaqlığın dəqiqləşdirilməmiş hissəsinin xoşxassəli
D27	Yumurtalığın xoşxassəli yenitörəməsi
D28	Digər və dəqiqləşdirilməmiş qadın cinsiyyət orqanlarının xoşxassəli yenitörəmələri
D28.0	Vulvanın (xarciri qadın cinsiyyət orqanlarının) xoşxassəli yenitörəməsi
D28.1	Uşaqlıq yolunun xoşxassəli yenitörəməsi
D28.2	Uşaqlıq boruları və bağlarının xoşxassəli yenitörəməsi
D28.7	Digər dəqiqləşdirilmiş qadın cinsiyyət orqanlarının xoşxassəli
D28.9	Dəqiqləşdirilməmiş qadın cinsiyyət orqanlarının xoşxassəli
D29	Kişi cinsiyyət orqanlarının xoşxassəli yenitörəmələri
D29.0	Kişi cinsiyyət üzvünün xoşxassəli yenitörəməsi
D29.1	Prostat vəzinin xoşxassəli yenitörəməsi
D29.2	Xayanın xoşxassəli yenitörəməsi
D29.3	Xaya artımının xoşxassəli yenitörəməsi
D29.4	Xayalığın xoşxassəli yenitörəməsi
D29.7	Digər kişi cinsiyyət orqanlarının xoşxassəli yenitörəməsi
D29.9	Kişi cinsiyyət orqanlarının dəqiqləşdirilməmiş lokalizasiyalı
D30	Sidik orqanlarının xoşxassəli yenitörəmələri
D30.0	Böyrəyin xoşxassəli yenitörəməsi
D30.1	Böyrək ləyənlərinin xoşxassəli yenitörəməsi
D30.2	Sidik axarının xoşxassəli yenitörəməsi
D30.3	Sidik kisəsinin xoşxassəli yenitörəməsi
D30.4	Sidik kanalının xoşxassəli yenitörəməsi
D30.7	Digər sidik orqanlarının xoşxassəli yenitörəməsi
D30.9	Sidik orqanlarının dəqiqləşdirilməmiş xoşxassəli yenitörəməsi
D31	Göz və onun əlavə aparatının xoşxassəli yenitörəmələri
D31.0	Konyuktivanın xoşxassəli yenitörəməsi
D31.1	Buynuz qişanın xoşxassəli yenitörəməsi
D31.2	Damarlı qişanın xoşxassəli yenitörəməsi
D31.3	Damarlı qişanın xoşxassəli yenitörəməsi
D31.4	Kirpikli cismin xoşxassəli yenitörəməsi
D31.5	Gözyaşı vəzisi və axacağının xoşxassəli yenitörəməsi
D31.6	Göz yuvasının dəqiqləşdirilməmiş hissəsinin xoşxassəli
D31.9	Gözün dəqiqləşdirilməmiş hissəsinin xoşxassəli
D32	Beyin qişalarının xoşxassəli yenitörəmələri
D32.0	Baş beyin qişalarının xoşxassəli yenitörəməsi
D32.1	Onurğa beyni qişalarının xoşxassəli yenitörəməsi
D32.9	Beyin qişalarının dəqiqləşdirilməmiş xoşxassəli yenitörəməsi
D33	Baş beyin və mərkəzi sininr sisteminin digər şöbələrinin xoşxassəli yenitörəməsi
D33.0	Baş beynin beyin çadırından üst hissəsinin xoşxassəli
D33.1	Baş beynin beyin çadırından alt hissəsinin xoşxassəli
D33.2	Baş beynin dəqiqləşdirilməmiş lokalizasiyalı xoşxassəli
D33.3	Kəllə sinirlərinin xoşxassəli yenitörəməsi
D33.4	Onurğa beyninin xoşxassəli yenitörəməsi
D33.7	Mərkəzi sinir sisteminin digər dəqiqləşdirilmiş şöbələrinin
D33.9	Mərkəzi sinir sisteminin dəqiqləşdirilməmiş lokalizasiyalı
